number,name,status
1,PEPPurposeandGuidelines,Active
12,SamplereStructuredTextPEPTemplate,Active
2,ProcedureforAddingNewModules,Active
4,DeprecationofStandardModules,Active
3,GuidelinesforHandlingBugReports,Withdrawn
5,GuidelinesforLanguageEvolution,Active
7,StyleGuideforCCode,Active
11,CPythonplatformsupport,Active
10,VotingGuidelines,Active
6,BugFixReleases,Active
9,SamplePlaintextPEPTemplate,Withdrawn
42,FeatureRequests,Withdrawn
8,StyleGuideforPythonCode,Active
20,TheZenofPython,Active
13,PythonLanguageGovernance,Active
102,DoingPythonMicroReleases,Superseded
101,DoingPythonReleases101,Active
245,PythonInterfaceSyntax,Rejected
227,StaticallyNestedScopes,Final
236,Backtothe__future__,Final
246,ObjectAdaptation,Rejected
248,PythonDatabaseAPISpecificationv1.0,Final
250,Usingsite-packagesonWindows,Final
252,MakingTypesLookMoreLikeClasses,Final
244,The,Rejected
251,Python2.2ReleaseSchedule,Final
249,PythonDatabaseAPISpecificationv2.0,Final
247,APIforCryptographicHashFunctions,Final
256,DocstringProcessingSystemFramework,Rejected
253,SubtypingBuilt-inTypes,Final
259,Omitprintingnewlineafternewline,Rejected
257,DocstringConventions,Active
258,DocutilsDesignSpecification,Rejected
255,SimpleGenerators,Final
254,MakingClassesLookMoreLikeTypes,Rejected
261,Supportfor“wide”Unicodecharacters,Final
260,Simplifyxrange(),Final
243,ModuleRepositoryUploadMechanism,Withdrawn
263,DefiningPythonSourceCodeEncodings,Final
265,SortingDictionariesbyValue,Rejected
264,Futurestatementsinsimulatedshells,Final
262,ADatabaseofInstalledPythonPackages,Rejected
267,OptimizedAccesstoModuleNamespaces,Deferred
242,NumericKinds,Rejected
241,MetadataforPythonSoftwarePackages,Superseded
240,AddingaRationalLiteraltoPython,Rejected
239,AddingaRationalTypetoPython,Rejected
269,PgenModuleforPython,Deferred
271,Prefixingsys.pathbycommandlineoption,Rejected
270,uniqmethodforlistobjects,Rejected
268,ExtendedHTTPfunctionalityandWebDAV,Rejected
238,ChangingtheDivisionOperator,Final
274,DictComprehensions,Final
272,APIforBlockEncryptionAlgorithmsv1.0,Final
266,OptimizingGlobalVariable/AttributeAccess,Withdrawn
276,SimpleIteratorforints,Rejected
279,Theenumerate()built-infunction,Final
278,UniversalNewlineSupport,Final
277,UnicodefilenamesupportforWindowsNT,Final
275,SwitchingonMultipleValues,Rejected
273,ImportModulesfromZipArchives,Final
237,UnifyingLongIntegersandIntegers,Final
235,ImportonCase-InsensitivePlatforms,Final
284,Integerfor-loops,Rejected
282,ALoggingSystem,Final
281,LoopCounterIterationwithrangeandxrange,Rejected
280,Optimizingaccesstoglobals,Deferred
286,EnhancedArgumentTuples,Deferred
283,Python2.3ReleaseSchedule,Final
285,Addingabooltype,Final
234,Iterators,Final
291,BackwardCompatibilityforthePython2StandardLibrary,Final
290,CodeMigrationandModernization,Active
289,GeneratorExpressions,Final
288,GeneratorsAttributesandExceptions,Withdrawn
287,reStructuredTextDocstringFormat,Active
233,PythonOnlineHelp,Deferred
295,Interpretationofmultilinestringconstants,Rejected
294,TypeNamesinthetypesModule,Rejected
299,Special__main__()functioninmodules,Rejected
298,TheLockedBufferInterface,Withdrawn
297,SupportforSystemUpgrades,Rejected
296,AddingabytesObjectType,Withdrawn
302,NewImportHooks,Final
301,PackageIndexandMetadataforDistutils,Final
303,Extenddivmod()forMultipleDivisors,Rejected
232,FunctionAttributes,Final
293,CodecErrorHandlingCallbacks,Final
292,SimplerStringSubstitutions,Final
304,ControllingGenerationofBytecodeFiles,Withdrawn
231,__findattr__(),Rejected
310,ReliableAcquisition/ReleasePairs,Rejected
309,PartialFunctionApplication,Final
308,ConditionalExpressions,Final
307,Extensionstothepickleprotocol,Final
312,SimpleImplicitLambda,Deferred
311,SimplifiedGlobalInterpreterLockAcquisitionforExtensions,Final
306,HowtoChangePython’sGrammar,Withdrawn
305,CSVFileAPI,Final
316,ProgrammingbyContractforPython,Deferred
315,EnhancedWhileLoop,Rejected
314,MetadataforPythonSoftwarePackages1.1,Superseded
313,AddingRomanNumeralLiteralstoPython,Rejected
318,DecoratorsforFunctionsandMethods,Final
320,Python2.4ReleaseSchedule,Final
317,EliminateImplicitExceptionInstantiation,Rejected
319,PythonSynchronize/AsynchronizeBlock,Rejected
325,Resource-ReleaseSupportforGenerators,Rejected
324,subprocess-Newprocessmodule,Final
323,CopyableIterators,Deferred
322,ReverseIteration,Final
321,Date/TimeParsingandFormatting,Withdrawn
230,WarningFramework,Final
327,DecimalDataType,Final
326,ACaseforTopandBottomValues,Rejected
329,TreatingBuiltinsasConstantsintheStandardLibrary,Rejected
328,Imports:Multi-LineandAbsolute/Relative,Final
229,UsingDistutilstoBuildPython,Final
228,ReworkingPython’sNumericModel,Withdrawn
331,Locale-IndependentFloat/StringConversions,Final
330,PythonBytecodeVerification,Rejected
226,Python2.1ReleaseSchedule,Final
225,Elementwise/ObjectwiseOperators,Rejected
333,PythonWebServerGatewayInterfacev1.0,Final
332,BytevectorsandString/UnicodeUnification,Rejected
224,AttributeDocstrings,Rejected
223,ChangetheMeaningof,Final
336,MakeNoneCallable,Rejected
335,OverloadableBooleanOperators,Rejected
334,SimpleCoroutinesviaSuspendIteration,Withdrawn
338,Executingmodulesasscripts,Final
337,LoggingUsageintheStandardLibrary,Deferred
221,ImportAs,Final
222,WebLibraryEnhancements,Deferred
220,"Coroutines,Generators,Continuations",Rejected
341,Unifyingtry-exceptandtry-finally,Final
340,AnonymousBlockStatements,Rejected
339,DesignoftheCPythonCompiler,Withdrawn
219,StacklessPython,Deferred
344,ExceptionChainingandEmbeddedTracebacks,Superseded
343,The“with”Statement,Final
342,CoroutinesviaEnhancedGenerators,Final
218,AddingaBuilt-InSetObjectType,Final
349,Allowstr()toreturnunicodestrings,Rejected
348,ExceptionReorganizationforPython3.0,Rejected
347,MigratingthePythonCVStoSubversion,Final
346,UserDefined(”,Withdrawn
345,MetadataforPythonSoftwarePackages1.2,Superseded
217,DisplayHookforInteractiveUse,Final
216,DocstringFormat,Rejected
215,StringInterpolation,Superseded
353,Usingssize_tastheindextype,Final
352,RequiredSuperclassforExceptions,Final
351,Thefreezeprotocol,Rejected
350,Codetags,Rejected
214,ExtendedPrintStatement,Final
213,AttributeAccessHandlers,Deferred
212,LoopCounterIteration,Rejected
211,AddingANewOuterProductOperator,Rejected
359,The“make”Statement,Withdrawn
358,The“bytes”Object,Final
357,AllowingAnyObjecttobeUsedforSlicing,Final
356,Python2.5ReleaseSchedule,Final
355,Path-Objectorientedfilesystempaths,Rejected
354,EnumerationsinPython,Superseded
210,DecouplingtheInterpreterLoop,Rejected
209,Multi-dimensionalArrays,Withdrawn
364,TransitioningtothePy3KStandardLibrary,Withdrawn
363,SyntaxForDynamicAttributeAccess,Rejected
362,FunctionSignatureObject,Final
361,Python2.6and3.0ReleaseSchedule,Final
360,ExternallyMaintainedPackages,Final
208,ReworkingtheCoercionModel,Final
207,RichComparisons,Final
366,Mainmoduleexplicitrelativeimports,Final
368,Standardimageprotocolandclass,Deferred
367,NewSuper,Superseded
